id,date,timestamp,title,decision,rationale,affects_issues
G-001,2026-07-04,2026-07-04 12:00:00,Flat directory structure,Keep all project files in the repository root directory with minimal exceptions (.github/ and skill-*/),Flat structures reduce navigation overhead and simplify path management in small projects,CODE_CONVENTIONS.md;DESIGN_GUIDELINES.md
G-002,2026-07-04,2026-07-04 12:00:00,Cross-repo links,Use absolute GitHub URLs for cross-repository links,Relative paths do not resolve correctly across different GitHub repositories,CODE_CONVENTIONS.md
G-003,2026-07-04,2026-07-04 12:00:00,Conventional Commits,Enforce Conventional Commits specification for git history,Standardized history enables automatic changelog generation and easier history analysis,CODE_CONVENTIONS.md
G-004,2026-07-04,2026-07-04 12:00:00,Local design and standards files,Every repository maintains its own local DESIGN_GUIDELINES.md and STANDARDS.md if required by its technologies and use cases. These files must only cover repository-specific matters and must not contain global guidelines or details from other repositories.,Repositories use different tech stacks and have different design constraints (e.g. backend microservices vs frontend web apps) so local guidelines ensure relevance and prevent document drift.,DESIGN_GUIDELINES.md;STANDARDS.md
L-001,2026-07-04,2026-07-04 12:00:00,Jira Automation tier,Käytetään aina Free-tieriä. Paid-tieriin ei siirrytä.,Free-tier riittää kaikkiin sääntöihin mukaan lukien Sääntö 13. Alkuperäinen Wait-action-pohjainen silmukkaesto ei toiminut Free-tierillä — tämä ratkaistiin korvaamalla se prefix-mekanismilla (ks. L-002). Tier-valinta ei vaikuta integraation toimivuuteen.,"#1, #8"
L-002,2026-07-04,2026-07-04 12:00:00,Prefix-pohjainen otsikon master-synkronointi,Otsikon synkronointi on kaksisuuntainen ja perustuu 'Jira:' tai 'Git:' -etuliitteeseen otsikon alussa. Mainittu järjestelmä toimii kyseisen otsikon master-lähteenä. Tämä on Sääntö 13:n toteutus — ei sen poisto. saanto-13.json on L-002:n Jira→GitHub-puolisko: prefix-logiikka korvaa Wait-action-pohjaisen silmukkaeston rakenteellisesti.,Estää silmukat ja määrittää selkeän master-järjestelmän kullekin otsikolle ilman monimutkaista aikaleima- tai odotuslogiikkaa Jiran päässä. STARTS_WITH 'Jira:' -ehto takaa että sääntö ei koskaan triggeröidy omasta muutoksestaan.,"#1, #7, #8"
L-003,2026-07-04,2026-07-04 12:00:00,Duplikaatit Jira-tiketit siivotaan käsin,Mahdolliset duplikaatit siivotaan käsin. Automaattista siivousmenettelyä ei toteuteta.,Duplikaattiriski on pieni ja kertaluonteinen. Käsin siivous on nopein ratkaisu eikä vaadi ylimääräistä koodia.,#10
L-004,2026-07-04,2026-07-04 12:00:00,Historiallista backfilliä ei tehdä Jiraan,migrate-history.yml-workflowta ei tarvita eikä toteuteta. GitHub-issuet ovat itsessään historia.,Uudet issuet synkronoidaan Jiraan reaaliajassa Sääntö 1:n kautta. Historiallisen datan siirto ei tuota riittävää lisäarvoa työmäärään nähden.,"#9, #10"
L-005,2026-07-04,2026-07-04 12:00:00,Assignee-synkronointi poistettu,Jira-assigneeta ei synkronoida GitHub-assigneehen. GitHub-assigneeta ei synkronoida Jira-assigneehen. Sääntö 10 jätetään toteuttamatta.,GitHub- ja Jira-käyttäjatilien kartoitus ei ole triviaalista: assignee.name ≠ accountId eikä suoraa kartoitusmekanismia ole. Ominaisuus ei tuota riittävää lisäarvoa monimutkaisuuteen nähden.,"#2, #8"
L-006,2026-07-04,2026-07-04 12:00:00,Label-poistologiikka poistettu säännöistä 9/11/12,Vanhoja status-/priority-/sprint-labeleja ei poisteta Jira-muutoksen yhteydessä. Labelit saavat akkumuloitua.,DELETE /rest/api/3/issue/{id}/label ei doimi wildcard-URLilla Jira Automationissa. Label-akkumuloituminen hyväksytään — labelien manuaalinen siivous tarvittaessa.,"#3, #8"
L-007,2026-07-04,2026-07-04 12:00:00,Issuetype-mapaus yksinkertaistettu,"Poistetaan käyttämättömät tyypit feature ja improvement. Lisätään epic-label → Epic, enhancement feat-riville.",feature- ja improvement-tyyppejä ei käytetä Jirassa. epic-labelilla voidaan eksplisiittisesti ohjata Epic-tyyppi ilman sulkuehtoja.,"#5, #8"
L-008,2026-07-04,2026-07-04 12:00:00,JIRA.md arkistoidaan — TECHNICAL_DESIGN.md on single source of truth,JIRA.md korvataan arkistointiviestillä kun issuet #7–#10 on suljettu.,JIRA.md oli drafting-pohja. Lopullinen tekninen dokumentaatio elää tässä repossa (TECHNICAL_DESIGN.md + DECISION_LOG.csv + issuet). Kahden rinnakkaisen dokumentin ylläpito ei skaalaudu.,#11
L-009,2026-07-04,2026-07-04 12:00:00,Milestone-logiikka GitHub-vetoiseksi,Milestonet luodaan ja hallitaan aina GitHubissa. Jira Automation hakee ja asettaa vain vastaavan järjestysnumeron (number) eikä yritä luoda uusia.,Ehkäisee monimutkaisen tilanhallinnan (GET/POST/PATCH) ja duplikaatit Jiran päässä pitäen automaation yksinkertaisena,#8
G-005,2026-07-04,2026-07-04 12:00:00,Human-readable CSV,DECISION_LOG.csv must be saved as plain human-readable UTF-8 CSV,Encoding files in base64 or other binary formats prevents code review in diffs and corrupts git logs,DECISION_LOG.csv
G-006,2026-07-04,2026-07-04 12:00:00,Uniqueness and single-publishing of functionalities,Every use case and user story functionality must be unique without duplication and published in only one place,Avoids redundant implementations and maintains a single source of truth across repositories,DESIGN_GUIDELINES.md
G-007,2026-07-04,2026-07-04 12:00:00,Hajautettu päätösloki,Päätöslokia ylläpidetään jokaisessa varastossa itsenäisesti. Kanoniset globaalit päätökset sovitaan yhdessä organisaatiotasolla ja kirjataan kaikkiin varastoihin.,Hajautettu lokitus antaa varastoille itsenäisyyden ja estää toisten varastojen paikallisten päätösten tulvimisen muihin,DECISION_LOG.csv
L-010,2026-07-04,2026-07-04 12:00:00,Sääntöjen 14 ja 15 idempotenssisuojausta ei toteuteta automaattisesti,"Sääntö 14 toteutetaan ilman duplikaattikommenttisuojaa: POST /issues/{n}/comments lähetetään suoraan. Sääntö 15 toteutetaan Vaihtoehto A:lla: milestonet luodaan GitHubissa etukäteen käsin tai gh-CLI:llä kerran per projekti, Jira Automation tekee vain yhden PATCH-kutsun kiinteällä number-arvolla. Satunnaiset duplikaattikommentit (sääntö 14) siivotaan käsin.","Vikafrekvenssi on marginaalinen (verkkokatko juuri POST-kutsun hetkellä). Vaihtoehto B (GitHub Actions -välikerros GET+vertailu+POST) on teknisesti oikea mutta ylimitoitettu: lisää uuden workflowtiedoston, uuden trigger-mekanismin (repository_dispatch) ja ketjutetun logiikan joka on monimutkaisempi kuin ongelma jonka se ratkaisee. Vaihtoehto A eliminoi milestone-duplikaattiriskin kokonaan ilman lisäkoodia — etukäteen luodut milestonet ovat riittävä ratkaisu kun fix version -nimet ovat staattisia projektin alussa. Linjassa L-003:n kanssa: marginaalinen duplikaattiriski hyväksytään ja korjataan käsin.",#8
L-011,2026-07-04,2026-07-04 12:00:00,Prioriteettisynkronointi poistettu,Prioriteettia ei synkronoida lainkaan GitHubin ja Jiran välillä. Sääntö 11 poistetaan käytöstä ja saanto-11-jira-priority-changed.json poistetaan.,Prioriteetti on kielletty kenttä integraatiossa turhan kohinan ja monimutkaisuuden välttämiseksi.,#8
